"title","company","city","state","country","job_type","modality","student_friendly","requirements_summary","source","source_url","posted_at","collected_date","query_term","query_loc","query_site"
"Practicante de Marketing","A&T SORTING","Saltillo","Coa","México","fulltime","On-site",True,"Apoyar en campañas de; telemarketing; , incluyendo llamadas a prospectos, seguimiento de leads y actualización de bases de datos.; Asistir en la","indeed","https://mx.indeed.com/viewjob?jk=8ba203c95526fe0b","2025-11-04","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
"Manufacturing Internship","ABB","Apodaca","Nle","México","fulltime","On-site",False,"leaner and cleaner. Here, progress is an expectation \; for you, your team, and the world. As a global market leader, we’ll give you what you need to make it happen. It won’t a; Your role and responsibilities (Mandatory); In this role, you will have the opportunity to gain vocational experience thr…","indeed","https://mx.indeed.com/viewjob?jk=de2ac67a85cccc5d","2025-10-07","2025-11-06","internship","Monterrey, Nuevo Leon, Mexico","indeed"
"Manufacturing Internship","ABB","Apodaca","Nle","México","nan","On-site",False,"działać sprawniej i ekologicznie. U nas postęp to standard – dla Ciebie, Twojego zespołu i całego świata. Jako globalny; Your role and responsibilities (Mandatory); In this role, you will have the opportunity to gain vocational experience through a temporary work placement. Each day,; Assist in Pro…","indeed","https://mx.indeed.com/viewjob?jk=379bc788c459d106","2025-10-07","2025-11-06","internship","Monterrey, Nuevo Leon, Mexico","indeed"
"Practicante de Planeación","AMERICAN INDUSTRIES","Apodaca","Nle","México","fulltime","On-site",True,"Descripción de Puesto: Practicante de Logística:; Brindar apoyo al área de Planeación en las actividades relacionadas con el control de la producción, programación de mat; Requisitos del puesto:; Estudiante activo en Ingeniería","indeed","https://mx.indeed.com/viewjob?jk=6cbede7b7d4c98f7","2025-11-06","2025-11-06","practicante","Monterrey, Nuevo Leon, Mexico","indeed"
"Practicante de Manufactura","AMI Automation","Monterrey","Nle","México","parttime","On-site",False,"Nos encontramos en búsqueda de:Practicante de Manufactura; Carreras: IIS.

Objetivo del puesto:  
Creación, planeación, control y mejora continua de los procesos de fabricación de; Nivel de inglés (70%); Control de producción y diseño de sistemas de trabajo.","indeed","https://mx.indeed.com/viewjob?jk=ba2f0b48514d8769","2025-11-04","2025-11-06","becario","Saltillo, Coahuila, Mexico","indeed"
"Ingeniero/Arquitecto/DevOps","AXEN","Monterrey","Nle","México","fulltime","On-site",True,"Experiencia :; 2 años de Arquitectura de TI \; Diseño e implementación de soluciones DevOps
  
3 años de Desarrollo de Software \; Programación de APIs y conectores utilizando estándares como REST, SOAP, y frameworks modernos
  
2 años de Gestión de P","indeed","https://mx.indeed.com/viewjob?jk=0b4e517c72987146","2025-10-28","2025-11-06","practicas","Saltillo, Coahuila, Mexico","indeed"
"Academia MS Data CL12","Accenture","Monterrey","Nle","México","fulltime","On-site",True,"DARE TO BE A PART OF THE CHALLENGE! COME AND JOIN OUR TEAM TOGETHER WE CAN MAKE THE DIFFERENCE!; Did you know that Accenture is leading the digital transformation in the World?; Accenture is a leading global professional services company, providing a broad range of services and solutions in strate;…","indeed","https://mx.indeed.com/viewjob?jk=1eae8393c5edbc24","2025-11-05","2025-11-06","internship","Saltillo, Coahuila, Mexico","indeed"
"Cell Leader (MEX)","Acuity Inc.","Guadalupe","Nle","México","nan","On-site",True,"Resumen del trabajo; Como un Cell Leader, deberá garantizar la seguridad de todos los empleados de la célula, asegurándose de que trabajan en; Tareas y responsabilidades clave (funciones esenciales); Asegurar cumplimiento a indicadores del FF (\+QDIPA).","indeed","https://mx.indeed.com/viewjob?jk=bf9ee3373e72d904","2025-11-06","2025-11-06","practicas","Monterrey, Nuevo Leon, Mexico","indeed"
"Practicante de Marketing en CRO","Alliance Virtual Offices","San Pedro Garza García","Nle","México","parttime","On-site",True,"proactive and analytical Marketing Intern; to support our; conversion\; rate optimization (CRO)","indeed","https://mx.indeed.com/viewjob?jk=dd86964d561c1151","2025-10-23","2025-11-06","internship","Saltillo, Coahuila, Mexico","indeed"
"HR Intern","Amalga Group","Monterrey","Nle","México","parttime","On-site",True,"** * Current student or recent graduate in Human Resources, Psychology, Business, or related field. * Availability to work on\-site at our office. * Strong organizational and communication skills. * Attention to detail and willingness to learn. * Comfortable working with spreadsheets and digital to…","indeed","https://mx.indeed.com/viewjob?jk=daf231d278ab007c","2025-10-17","2025-11-06","internship","Saltillo, Coahuila, Mexico","indeed"
"Abogado Junior","Aw Labor Solutions","Monterrey","Nle","México","fulltime","On-site",True,"1 Patrocinada)

¿Eres un/a; Abogado/a recién egresado/a o en tus últimos semestres; con pasión por el Derecho y el deseo de una experiencia internacional que impulse tu carrera? Buscamos un talento brilla; Programa de Entrenamiento de 6 meses","indeed","https://mx.indeed.com/viewjob?jk=51431ae4e9ea13f9","2025-11-02","2025-11-06","intern","Saltillo, Coahuila, Mexico","indeed"
"Continuous Improvement Intern","BAT","Monterrey","Nle","México","nan","On-site",True,"a nosotros en este viaje!; British American Tobacco tiene una oportunidad emocionante como Continuous Improvement Intern en; Ciudad de M; Tus responsabilidades incluirán:","indeed","https://mx.indeed.com/viewjob?jk=f0177b7fcc77ed28","2025-10-12","2025-11-06","intern","Saltillo, Coahuila, Mexico","indeed"
"Demand Planning Intern","BAT","Monterrey","Nle","México","nan","On-site",True,"BAT está evolucionando a gran velocidad hacia un negocio global multicategoría. Nuestro propósito es construir A Better; Para lograr nuestra ambición, buscamos personas dispuestas a unirse a este viaje. ¡ Tomorrow can’t wait, hagámoslo reali; British American Tobacco Mexico tiene una oportunidad em…","indeed","https://mx.indeed.com/viewjob?jk=eac798af1cb77a7b","2025-11-05","2025-11-06","practicante","Saltillo, Coahuila, Mexico","indeed"
